Prompt: E = 4.29288, Q = 8808.75, Time = 2025-08-30 03:06:38.6
Delayed: E = 2.18387, Q = 4718.65, Time = 2025-09-15 02:38:58.9
Prompt: E = 8.10716, Q = 15293.7, Time = 2025-09-15 03:13:44.8
Delayed: E = 2.24663, Q = 4557.53, Time = 2025-09-15 03:13:44.8
Prompt: E = 5.85092, Q = 11052.4, Time = 2025-09-15 03:54:35.6
Delayed: E = 2.17984, Q = 4545.02, Time = 2025-09-15 03:54:35.6
Prompt: E = 1.95816, Q = 3847.74, Time = 2025-09-15 05:38:11.7
Delayed: E = 2.18929, Q = 4528.06, Time = 2025-09-15 05:38:11.7
Prompt: E = 4.02732, Q = 8321.92, Time = 2025-09-15 05:38:20.4
Delayed: E = 2.27137, Q = 4987.45, Time = 2025-09-15 05:38:20.4
Prompt: E = 2.01479, Q = 3997.6, Time = 2025-09-15 05:45:42.3
Delayed: E = 2.07955, Q = 4218.61, Time = 2025-09-15 05:45:42.3
Prompt: E = 2.46212, Q = 5150.29, Time = 2025-09-15 06:02:42.1
Delayed: E = 2.39089, Q = 5190.81, Time = 2025-09-15 06:02:42.1
Prompt: E = 1.23469, Q = 2746.04, Time = 2025-09-15 06:38:32.9
Delayed: E = 2.19377, Q = 4683.45, Time = 2025-09-15 06:38:32.9
Prompt: E = 2.36708, Q = 4951.11, Time = 2025-09-15 07:38:28.5
Delayed: E = 2.18566, Q = 4609.02, Time = 2025-09-15 07:38:28.5
Prompt: E = 1.22425, Q = 2909.19, Time = 2025-09-15 07:51:45.0
Delayed: E = 2.21039, Q = 4643.15, Time = 2025-09-15 07:51:45.0
Prompt: E = 2.05809, Q = 4434.19, Time = 2025-09-15 08:04:07.1
Delayed: E = 2.252, Q = 4996.77, Time = 2025-09-15 08:04:07.1
Prompt: E = 6.36868, Q = 12415.8, Time = 2025-09-15 08:51:57.2
Delayed: E = 2.27765, Q = 4532.13, Time = 2025-09-15 08:51:57.2
Prompt: E = 1.04064, Q = 2366.3, Time = 2025-09-15 09:44:21.8
Delayed: E = 2.1574, Q = 4447.63, Time = 2025-09-15 09:44:21.8
Prompt: E = 2.06128, Q = 4553.23, Time = 2025-09-15 09:58:29.0
Delayed: E = 2.30819, Q = 5057.25, Time = 2025-09-15 09:58:29.0
Prompt: E = 2.17773, Q = 4517.39, Time = 2025-09-15 10:35:59.5
Delayed: E = 2.19147, Q = 4536.44, Time = 2025-09-15 10:35:59.5
Prompt: E = 9.22828, Q = 18163, Time = 2025-09-15 10:42:00.7
Delayed: E = 2.21357, Q = 4727.63, Time = 2025-09-15 10:42:00.7
Prompt: E = 1.249, Q = 2822.14, Time = 2025-09-15 10:51:28.3
Delayed: E = 2.39669, Q = 5074.16, Time = 2025-09-15 10:51:28.3
Prompt: E = 3.77963, Q = 7475.74, Time = 2025-09-15 11:14:12.4
Delayed: E = 2.15675, Q = 4388.85, Time = 2025-09-15 11:14:12.4
Prompt: E = 4.92064, Q = 9783.16, Time = 2025-09-15 12:31:14.2
Delayed: E = 2.20245, Q = 4500.68, Time = 2025-09-15 12:31:14.2
Prompt: E = 3.63533, Q = 7493.13, Time = 2025-09-15 12:40:09.3
Delayed: E = 2.21023, Q = 4608.8, Time = 2025-09-15 12:40:09.3
Prompt: E = 1.77718, Q = 3800.22, Time = 2025-09-15 12:52:28.0
Delayed: E = 2.27035, Q = 4802.76, Time = 2025-09-15 12:52:28.0
Prompt: E = 4.4146, Q = 9277.99, Time = 2025-09-15 13:24:14.2
Delayed: E = 2.17225, Q = 4800.95, Time = 2025-09-15 13:24:14.2
Prompt: E = 5.23926, Q = 10412.9, Time = 2025-09-15 15:07:16.4
Delayed: E = 2.2025, Q = 4546.07, Time = 2025-09-15 15:07:16.4
Prompt: E = 3.59857, Q = 7262.29, Time = 2025-09-15 15:09:26.8
Delayed: E = 2.17685, Q = 4497.37, Time = 2025-09-15 15:09:26.8
Prompt: E = 5.59714, Q = 10840.6, Time = 2025-09-15 15:11:41.6
Delayed: E = 2.2478, Q = 4637.2, Time = 2025-09-15 15:11:41.6
Prompt: E = 4.80166, Q = 9500.88, Time = 2025-09-15 15:16:35.2
Delayed: E = 2.22769, Q = 4659.03, Time = 2025-09-15 15:16:35.2
Prompt: E = 5.24964, Q = 10896.1, Time = 2025-09-15 16:00:22.8
Delayed: E = 2.21805, Q = 4921, Time = 2025-09-15 16:00:22.8
Prompt: E = 4.67551, Q = 9247.87, Time = 2025-09-15 16:14:24.8
Delayed: E = 2.15168, Q = 4456.81, Time = 2025-09-15 16:14:24.8
Prompt: E = 5.59802, Q = 11818.4, Time = 2025-09-15 17:00:06.5
Delayed: E = 2.30085, Q = 5088.12, Time = 2025-09-15 17:00:06.5
Prompt: E = 2.36716, Q = 4875.99, Time = 2025-09-15 17:06:44.7
Delayed: E = 2.18428, Q = 4485.54, Time = 2025-09-15 17:06:44.7
Prompt: E = 2.93424, Q = 6393.31, Time = 2025-09-15 18:02:30.5
Delayed: E = 2.16137, Q = 4703.17, Time = 2025-09-15 18:02:30.5
Prompt: E = 1.40858, Q = 3239.83, Time = 2025-09-15 18:18:34.4
Delayed: E = 2.17776, Q = 4649.42, Time = 2025-09-15 18:18:34.4
Prompt: E = 3.17389, Q = 6390.08, Time = 2025-09-16 00:31:34.3
Delayed: E = 2.11308, Q = 4541.91, Time = 2025-09-16 00:31:34.3
Prompt: E = 4.77305, Q = 9756.25, Time = 2025-09-16 00:46:11.3
Delayed: E = 2.20578, Q = 4653.67, Time = 2025-09-16 00:46:11.3
Prompt: E = 1.19513, Q = 2723.17, Time = 2025-09-16 01:21:06.1
Delayed: E = 2.11374, Q = 4529.65, Time = 2025-09-16 01:21:06.1
Prompt: E = 2.06116, Q = 4736.38, Time = 2025-09-16 01:36:10.5
Delayed: E = 2.24114, Q = 4895.08, Time = 2025-09-16 01:36:10.5
Prompt: E = 4.02984, Q = 7787.98, Time = 2025-09-16 03:35:30.9
Delayed: E = 2.20247, Q = 4512.14, Time = 2025-09-16 03:35:30.9
Prompt: E = 3.57028, Q = 7337.2, Time = 2025-09-16 09:56:27.3
Delayed: E = 2.11268, Q = 4514.49, Time = 2025-09-16 09:56:27.3
Prompt: E = 5.9295, Q = 11716.1, Time = 2025-09-16 10:46:37.4
Delayed: E = 2.27233, Q = 4722.11, Time = 2025-09-16 10:46:37.4
Prompt: E = 4.7956, Q = 10219.4, Time = 2025-09-16 11:04:40.1
Delayed: E = 2.23343, Q = 5008.84, Time = 2025-09-16 11:04:40.1
Prompt: E = 5.3518, Q = 10833, Time = 2025-09-16 11:07:42.2
Delayed: E = 2.21762, Q = 4737.14, Time = 2025-09-16 11:07:42.2
Prompt: E = 3.58709, Q = 7831.92, Time = 2025-09-16 11:12:34.3
Delayed: E = 2.16838, Q = 4727.62, Time = 2025-09-16 11:12:34.3
Prompt: E = 5.18967, Q = 10126.2, Time = 2025-09-16 11:41:26.5
Delayed: E = 2.21836, Q = 4622.97, Time = 2025-09-16 11:41:26.5
Prompt: E = 3.94639, Q = 8468.53, Time = 2025-09-16 12:18:39.2
Delayed: E = 2.0578, Q = 4671.01, Time = 2025-09-16 12:18:39.2
Prompt: E = 1.14938, Q = 2519.84, Time = 2025-09-16 13:15:44.4
Delayed: E = 2.16834, Q = 4469.11, Time = 2025-09-16 13:15:44.4
Prompt: E = 6.952, Q = 13659.3, Time = 2025-09-16 13:27:32.0
Delayed: E = 2.23867, Q = 4706.8, Time = 2025-09-16 13:27:32.0
Prompt: E = 1.85985, Q = 3966.01, Time = 2025-09-16 13:46:20.8
Delayed: E = 2.15472, Q = 4485.92, Time = 2025-09-16 13:46:20.8
Prompt: E = 5.4166, Q = 11598.2, Time = 2025-09-16 13:57:39.0
Delayed: E = 2.23255, Q = 4899.73, Time = 2025-09-16 13:57:39.0
Prompt: E = 1.29097, Q = 3035.16, Time = 2025-09-16 14:52:01.5
Delayed: E = 2.24521, Q = 5039.84, Time = 2025-09-16 14:52:01.5
Prompt: E = 5.16928, Q = 10363.8, Time = 2025-09-16 15:20:21.5
Delayed: E = 2.26524, Q = 4720.26, Time = 2025-09-16 15:20:21.5
Prompt: E = 6.32281, Q = 11992.3, Time = 2025-09-16 15:34:53.2
Delayed: E = 2.25011, Q = 4438.46, Time = 2025-09-16 15:34:53.2
Prompt: E = 4.12812, Q = 8870.19, Time = 2025-09-16 15:47:35.0
Delayed: E = 2.24812, Q = 4967.32, Time = 2025-09-16 15:47:35.0
Prompt: E = 1.29383, Q = 2825.29, Time = 2025-09-16 16:32:52.1
Delayed: E = 2.2098, Q = 4621.93, Time = 2025-09-16 16:32:52.1
Prompt: E = 6.37754, Q = 13208.9, Time = 2025-09-16 16:41:49.7
Delayed: E = 2.20688, Q = 4837.45, Time = 2025-09-16 16:41:49.7
Prompt: E = 5.86178, Q = 11704.6, Time = 2025-09-16 16:42:33.6
Delayed: E = 2.30294, Q = 4750.31, Time = 2025-09-16 16:42:33.6
Prompt: E = 4.37302, Q = 8484.63, Time = 2025-09-16 17:50:49.7
Delayed: E = 2.2302, Q = 4481.81, Time = 2025-09-16 17:50:49.7
Prompt: E = 4.29382, Q = 8857.1, Time = 2025-09-16 18:27:34.0
Delayed: E = 2.2378, Q = 4699.89, Time = 2025-09-16 18:27:34.0
Prompt: E = 2.54668, Q = 5450.5, Time = 2025-09-16 18:52:55.9
Delayed: E = 2.28927, Q = 5016.62, Time = 2025-09-16 18:52:55.9
Prompt: E = 6.53723, Q = 13620.4, Time = 2025-09-16 18:58:44.3
Delayed: E = 2.17715, Q = 4755.58, Time = 2025-09-16 18:58:44.3
Prompt: E = 1.68798, Q = 3748.45, Time = 2025-09-16 19:59:08.8
Delayed: E = 2.227, Q = 4755.05, Time = 2025-09-16 19:59:08.8
Prompt: E = 3.7535, Q = 8022.46, Time = 2025-09-16 20:13:54.5
Delayed: E = 2.13105, Q = 4780.44, Time = 2025-09-16 20:13:54.5
Prompt: E = 4.77173, Q = 9744.54, Time = 2025-09-16 20:25:53.6
Delayed: E = 2.25853, Q = 4828.74, Time = 2025-09-16 20:25:53.6
Prompt: E = 1.12178, Q = 2567.24, Time = 2025-09-16 20:56:45.1
Delayed: E = 2.24505, Q = 4614.71, Time = 2025-09-16 20:56:45.1
Prompt: E = 3.84908, Q = 8243.05, Time = 2025-09-16 20:58:59.8
Delayed: E = 2.32004, Q = 4924.17, Time = 2025-09-16 20:58:59.8
Prompt: E = 1.3718, Q = 2975.42, Time = 2025-09-16 21:09:08.7
Delayed: E = 2.29398, Q = 4750.67, Time = 2025-09-16 21:09:08.7
Prompt: E = 6.77224, Q = 13294, Time = 2025-09-16 21:11:51.6
Delayed: E = 2.24913, Q = 4601.66, Time = 2025-09-16 21:11:51.6
Prompt: E = 3.72805, Q = 7446.92, Time = 2025-09-16 23:41:36.7
Delayed: E = 2.27765, Q = 4637.87, Time = 2025-09-16 23:41:36.7
Prompt: E = 2.52241, Q = 5350.23, Time = 2025-09-17 00:23:15.3
Delayed: E = 2.23163, Q = 4837.21, Time = 2025-09-17 00:23:15.3
Prompt: E = 1.96021, Q = 4209.52, Time = 2025-09-17 00:30:13.4
Delayed: E = 2.28583, Q = 4987.85, Time = 2025-09-17 00:30:13.4
Prompt: E = 3.3648, Q = 7249.92, Time = 2025-09-17 00:52:33.5
Delayed: E = 2.25182, Q = 5023.54, Time = 2025-09-17 00:52:33.5
Prompt: E = 4.33192, Q = 8576.39, Time = 2025-09-17 01:22:31.3
Delayed: E = 2.30705, Q = 4597.13, Time = 2025-09-17 01:22:31.3
Prompt: E = 6.10146, Q = 12187.4, Time = 2025-09-17 02:32:50.0
Delayed: E = 2.19911, Q = 4695.46, Time = 2025-09-17 02:32:50.0
Prompt: E = 1.0518, Q = 2444.43, Time = 2025-09-17 02:45:57.8
Delayed: E = 2.2241, Q = 4663.9, Time = 2025-09-17 02:45:57.8
Prompt: E = 4.35825, Q = 9129.16, Time = 2025-09-17 02:46:37.2
Delayed: E = 2.25837, Q = 4847.87, Time = 2025-09-17 02:46:37.2
Prompt: E = 3.22843, Q = 7030.32, Time = 2025-09-17 02:46:37.4
Delayed: E = 2.31413, Q = 5101.43, Time = 2025-09-17 02:46:37.4
Prompt: E = 5.48196, Q = 10498.5, Time = 2025-09-17 04:37:34.9
Delayed: E = 2.1867, Q = 4578.62, Time = 2025-09-17 04:37:34.9
Prompt: E = 3.91976, Q = 7513.97, Time = 2025-09-17 04:49:47.6
Delayed: E = 2.29836, Q = 4578.84, Time = 2025-09-17 04:49:47.6
Prompt: E = 1.93279, Q = 4129.22, Time = 2025-09-17 05:53:47.2
Delayed: E = 2.11873, Q = 4441.56, Time = 2025-09-17 05:53:47.2
Prompt: E = 5.31495, Q = 10457.3, Time = 2025-09-17 06:02:58.6
Delayed: E = 2.2797, Q = 4778.41, Time = 2025-09-17 06:02:58.6
Prompt: E = 4.19943, Q = 8009.13, Time = 2025-09-17 07:50:57.5
Delayed: E = 2.28298, Q = 4636.93, Time = 2025-09-17 07:50:57.5
Prompt: E = 5.12836, Q = 10375.3, Time = 2025-09-17 08:03:17.1
Delayed: E = 2.21432, Q = 4720.36, Time = 2025-09-17 08:03:17.1
Prompt: E = 2.33078, Q = 5153.96, Time = 2025-09-17 10:02:18.3
Delayed: E = 2.27807, Q = 5029.14, Time = 2025-09-17 10:02:18.3
Prompt: E = 0.947422, Q = 2143.23, Time = 2025-09-17 10:17:15.6
Delayed: E = 2.11534, Q = 4292.9, Time = 2025-09-17 10:17:15.6
Prompt: E = 7.16784, Q = 14564.3, Time = 2025-09-17 10:22:38.2
Delayed: E = 2.21946, Q = 4801.15, Time = 2025-09-17 10:22:38.2
Prompt: E = 3.60793, Q = 7485.81, Time = 2025-09-17 10:41:36.2
Delayed: E = 2.21429, Q = 4560.72, Time = 2025-09-17 10:41:36.2
Prompt: E = 2.06501, Q = 4581.01, Time = 2025-09-17 11:09:34.7
Delayed: E = 2.33216, Q = 5122.02, Time = 2025-09-17 11:09:34.7
Prompt: E = 5.07784, Q = 11041, Time = 2025-09-17 11:24:56.6
Delayed: E = 2.20147, Q = 4994.72, Time = 2025-09-17 11:24:56.6
Prompt: E = 2.20526, Q = 4711.03, Time = 2025-09-17 11:26:34.3
Delayed: E = 2.29905, Q = 5030.79, Time = 2025-09-17 11:26:34.3
Prompt: E = 5.83801, Q = 11781.9, Time = 2025-09-17 11:39:12.8
Delayed: E = 2.17209, Q = 4488.87, Time = 2025-09-17 11:39:12.8
Prompt: E = 1.31232, Q = 2918.6, Time = 2025-09-17 12:40:47.0
Delayed: E = 2.24025, Q = 4744.16, Time = 2025-09-17 12:40:47.0
Prompt: E = 2.95073, Q = 6268.48, Time = 2025-09-17 13:20:33.8
Delayed: E = 2.20995, Q = 4776.11, Time = 2025-09-17 13:20:33.8
Prompt: E = 4.39286, Q = 9192.89, Time = 2025-09-17 14:52:17.4
Delayed: E = 2.20839, Q = 4765.87, Time = 2025-09-17 14:52:17.4
Prompt: E = 3.62621, Q = 7639.77, Time = 2025-09-17 14:59:51.4
Delayed: E = 2.35245, Q = 5031.82, Time = 2025-09-17 14:59:51.4
Prompt: E = 4.30683, Q = 9079.37, Time = 2025-09-17 15:13:38.7
Delayed: E = 2.12669, Q = 4565.2, Time = 2025-09-17 15:13:38.7
Prompt: E = 2.25221, Q = 4595.5, Time = 2025-09-17 15:55:49.5
Delayed: E = 2.24627, Q = 4733.94, Time = 2025-09-17 15:55:49.5
Prompt: E = 3.70913, Q = 7568.74, Time = 2025-09-17 17:18:46.4
Delayed: E = 2.20854, Q = 4729.74, Time = 2025-09-17 17:18:46.4
Prompt: E = 3.70839, Q = 7928.12, Time = 2025-09-17 17:32:43.0
Delayed: E = 2.14466, Q = 4595.51, Time = 2025-09-17 17:32:43.0
Prompt: E = 2.48908, Q = 5348.04, Time = 2025-09-17 19:20:01.4
Delayed: E = 2.21273, Q = 4953.37, Time = 2025-09-17 19:20:01.4
Prompt: E = 6.01577, Q = 12750.4, Time = 2025-09-17 19:27:02.4
Delayed: E = 2.28579, Q = 5022.32, Time = 2025-09-17 19:27:02.4
Prompt: E = 3.95752, Q = 8307.1, Time = 2025-09-17 20:03:02.1
Delayed: E = 2.33014, Q = 4992.52, Time = 2025-09-17 20:03:02.1
Prompt: E = 5.70106, Q = 11724.5, Time = 2025-09-17 20:39:20.1
Delayed: E = 2.22822, Q = 4757.55, Time = 2025-09-17 20:39:20.1
Prompt: E = 2.66294, Q = 5671.44, Time = 2025-09-17 20:39:20.3
Delayed: E = 2.35329, Q = 5021.17, Time = 2025-09-17 20:39:20.3
Prompt: E = 1.8305, Q = 3867.45, Time = 2025-09-17 21:19:41.4
Delayed: E = 2.34847, Q = 4772.09, Time = 2025-09-17 21:19:41.4
Prompt: E = 2.40252, Q = 4979.89, Time = 2025-09-17 21:25:54.8
Delayed: E = 2.22608, Q = 4594.02, Time = 2025-09-17 21:25:54.8
Prompt: E = 4.47561, Q = 8799.67, Time = 2025-09-17 21:49:59.2
Delayed: E = 2.26887, Q = 4676.35, Time = 2025-09-17 21:49:59.2
Prompt: E = 2.19637, Q = 4779.99, Time = 2025-09-17 22:07:14.3
Delayed: E = 2.23915, Q = 4774.13, Time = 2025-09-17 22:07:14.3
Prompt: E = 6.01632, Q = 11653.1, Time = 2025-09-17 23:07:38.1
Delayed: E = 2.26757, Q = 4631.96, Time = 2025-09-17 23:07:38.1
Prompt: E = 1.76896, Q = 3750.01, Time = 2025-09-17 23:15:02.3
Delayed: E = 2.2459, Q = 4619.31, Time = 2025-09-17 23:15:02.3
Prompt: E = 1.71213, Q = 3668.43, Time = 2025-09-17 23:42:01.7
Delayed: E = 2.18474, Q = 4577.09, Time = 2025-09-17 23:42:01.7
Prompt: E = 4.59578, Q = 9379.01, Time = 2025-09-18 01:51:11.3
Delayed: E = 2.17189, Q = 4654.27, Time = 2025-09-18 01:51:11.3
Prompt: E = 8.00766, Q = 15904.4, Time = 2025-09-18 02:00:31.4
Delayed: E = 2.24326, Q = 4851.21, Time = 2025-09-18 02:00:31.4
Prompt: E = 1.10409, Q = 2593.08, Time = 2025-09-18 02:01:55.4
Delayed: E = 2.19043, Q = 4812.65, Time = 2025-09-18 02:01:55.4
Prompt: E = 1.41864, Q = 3161.9, Time = 2025-09-18 02:31:37.1
Delayed: E = 2.22915, Q = 4507.16, Time = 2025-09-18 02:31:37.1
Prompt: E = 2.86033, Q = 5902.02, Time = 2025-09-18 02:42:54.6
Delayed: E = 2.23804, Q = 4744.4, Time = 2025-09-18 02:42:54.6
Prompt: E = 1.89737, Q = 4173.19, Time = 2025-09-18 03:11:13.2
Delayed: E = 2.31937, Q = 5002.89, Time = 2025-09-18 03:11:13.2
Prompt: E = 3.80495, Q = 7739.38, Time = 2025-09-18 04:18:48.0
Delayed: E = 2.24783, Q = 4752.87, Time = 2025-09-18 04:18:48.0
Prompt: E = 8.86798, Q = 17706.6, Time = 2025-09-18 04:19:33.1
Delayed: E = 2.22592, Q = 4748.88, Time = 2025-09-18 04:19:33.1
Prompt: E = 5.34712, Q = 10636.2, Time = 2025-09-18 04:46:34.7
Delayed: E = 2.24693, Q = 4703.6, Time = 2025-09-18 04:46:34.7
Prompt: E = 4.12922, Q = 8476.69, Time = 2025-09-18 05:16:18.0
Delayed: E = 2.26707, Q = 4778.74, Time = 2025-09-18 05:16:18.0
Prompt: E = 5.47931, Q = 10837.7, Time = 2025-09-18 05:18:04.2
Delayed: E = 2.31215, Q = 4790.29, Time = 2025-09-18 05:18:04.2
Prompt: E = 5.78082, Q = 12233, Time = 2025-09-18 05:24:03.3
Delayed: E = 2.1936, Q = 4842.45, Time = 2025-09-18 05:24:03.3
Prompt: E = 4.367, Q = 8538.73, Time = 2025-09-18 07:09:10.0
Delayed: E = 2.22421, Q = 4659.37, Time = 2025-09-18 07:09:10.0
Prompt: E = 3.28034, Q = 6396.6, Time = 2025-09-18 07:43:29.2
Delayed: E = 2.1669, Q = 4282.44, Time = 2025-09-18 07:43:29.2
Prompt: E = 5.20176, Q = 10597.5, Time = 2025-09-18 08:04:24.3
Delayed: E = 2.22742, Q = 4766.89, Time = 2025-09-18 08:04:24.3
Prompt: E = 3.15591, Q = 6183.24, Time = 2025-09-18 08:06:12.4
Delayed: E = 2.20328, Q = 4460.48, Time = 2025-09-18 08:06:12.4
Prompt: E = 5.6773, Q = 11051.4, Time = 2025-09-18 08:23:28.1
Delayed: E = 2.21847, Q = 4549.28, Time = 2025-09-18 08:23:28.1
Prompt: E = 3.37231, Q = 6684.91, Time = 2025-09-18 08:31:47.1
Delayed: E = 2.2696, Q = 4627.96, Time = 2025-09-18 08:31:47.1
Prompt: E = 4.04074, Q = 8374.01, Time = 2025-09-18 09:59:38.7
Delayed: E = 2.19124, Q = 4855.09, Time = 2025-09-18 09:59:38.7
Prompt: E = 1.13419, Q = 2607.26, Time = 2025-09-18 10:23:01.8
Delayed: E = 2.31047, Q = 4976.25, Time = 2025-09-18 10:23:01.8
Prompt: E = 1.75849, Q = 3763.21, Time = 2025-09-18 10:24:18.4
Delayed: E = 2.27907, Q = 4689.61, Time = 2025-09-18 10:24:18.4
Prompt: E = 8.5604, Q = 16165.2, Time = 2025-09-18 10:36:53.4
Delayed: E = 2.29006, Q = 4635.09, Time = 2025-09-18 10:36:53.4
Prompt: E = 3.34728, Q = 6572.05, Time = 2025-09-18 11:22:41.5
Delayed: E = 2.28845, Q = 4652, Time = 2025-09-18 11:22:41.5
Prompt: E = 7.06545, Q = 14306.9, Time = 2025-09-18 12:20:34.0
Delayed: E = 2.30874, Q = 4967.34, Time = 2025-09-18 12:20:34.0
Prompt: E = 4.83616, Q = 9376.64, Time = 2025-09-18 12:23:56.2
Delayed: E = 2.265, Q = 4550.19, Time = 2025-09-18 12:23:56.2
Prompt: E = 2.34672, Q = 5133.68, Time = 2025-09-18 13:22:55.3
Delayed: E = 2.35349, Q = 5106.87, Time = 2025-09-18 13:22:55.3
Prompt: E = 5.24762, Q = 10528, Time = 2025-09-18 14:04:08.6
Delayed: E = 2.21527, Q = 4646.8, Time = 2025-09-18 14:04:08.6
Prompt: E = 3.53097, Q = 6805.03, Time = 2025-09-18 15:18:40.6
Delayed: E = 2.14874, Q = 4401.26, Time = 2025-09-18 15:18:40.6
Prompt: E = 2.3069, Q = 4669.54, Time = 2025-09-18 16:25:19.3
Delayed: E = 2.28627, Q = 4641.03, Time = 2025-09-18 16:25:19.3
Prompt: E = 5.2652, Q = 10004.3, Time = 2025-09-18 16:51:27.6
Delayed: E = 2.28741, Q = 4522.6, Time = 2025-09-18 16:51:27.6
Prompt: E = 3.68676, Q = 7280.82, Time = 2025-09-18 17:40:14.3
Delayed: E = 2.24699, Q = 4653.67, Time = 2025-09-18 17:40:14.3
Prompt: E = 4.05953, Q = 8051.77, Time = 2025-09-18 18:33:38.7
Delayed: E = 2.26367, Q = 4716.84, Time = 2025-09-18 18:33:38.7
Prompt: E = 5.90544, Q = 12412.5, Time = 2025-09-18 19:06:46.4
Delayed: E = 2.24021, Q = 4952.27, Time = 2025-09-18 19:06:46.4
Prompt: E = 4.70597, Q = 9051.84, Time = 2025-09-18 20:28:12.6
Delayed: E = 2.21231, Q = 4477.22, Time = 2025-09-18 20:28:12.6
Prompt: E = 3.34122, Q = 6757.3, Time = 2025-09-18 21:02:52.9
Delayed: E = 2.21307, Q = 4503.11, Time = 2025-09-18 21:02:52.9
Prompt: E = 4.49329, Q = 9135.69, Time = 2025-09-18 21:06:37.2
Delayed: E = 2.13778, Q = 4597.75, Time = 2025-09-18 21:06:37.2
Prompt: E = 9.18216, Q = 18921.8, Time = 2025-09-18 21:33:43.4
Delayed: E = 2.24741, Q = 4983.26, Time = 2025-09-18 21:33:43.4
Prompt: E = 5.45955, Q = 11294.8, Time = 2025-09-18 22:11:14.3
Delayed: E = 2.11776, Q = 4597.44, Time = 2025-09-18 22:11:14.3
Prompt: E = 3.72328, Q = 7553.84, Time = 2025-09-18 22:16:19.0
Delayed: E = 2.31423, Q = 4848.4, Time = 2025-09-18 22:16:19.0
Prompt: E = 1.37361, Q = 3171.34, Time = 2025-09-18 22:26:06.1
Delayed: E = 2.30944, Q = 5090.34, Time = 2025-09-18 22:26:06.1
Prompt: E = 3.28307, Q = 6736.72, Time = 2025-09-18 22:48:40.6
Delayed: E = 2.21901, Q = 4643.56, Time = 2025-09-18 22:48:40.6
Prompt: E = 4.63896, Q = 8810.46, Time = 2025-09-18 23:10:20.2
Delayed: E = 2.17614, Q = 4370.28, Time = 2025-09-18 23:10:20.2
Prompt: E = 5.45303, Q = 10862.7, Time = 2025-09-18 23:58:42.2
Delayed: E = 2.19374, Q = 4695.04, Time = 2025-09-18 23:58:42.2
Prompt: E = 4.07885, Q = 8720.81, Time = 2025-09-19 01:38:10.8
Delayed: E = 2.31275, Q = 5078.03, Time = 2025-09-19 01:38:10.8
Prompt: E = 6.81569, Q = 14420.8, Time = 2025-09-19 02:26:38.6
Delayed: E = 2.03427, Q = 4516.43, Time = 2025-09-19 02:26:38.6
Prompt: E = 2.49485, Q = 5057.4, Time = 2025-09-19 02:41:06.7
Delayed: E = 2.27714, Q = 4636.97, Time = 2025-09-19 02:41:06.7
Prompt: E = 3.31938, Q = 6813.65, Time = 2025-09-19 02:49:03.7
Delayed: E = 2.21008, Q = 4617.18, Time = 2025-09-19 02:49:03.7
Prompt: E = 1.85488, Q = 3745.15, Time = 2025-09-19 02:50:40.7
Delayed: E = 2.26955, Q = 4820.33, Time = 2025-09-19 02:50:40.7
Prompt: E = 1.4026, Q = 3266.48, Time = 2025-09-19 05:16:35.9
Delayed: E = 2.2481, Q = 5017.71, Time = 2025-09-19 05:16:35.9
Prompt: E = 3.54393, Q = 7582.67, Time = 2025-09-19 07:03:16.2
Delayed: E = 2.24703, Q = 5023.27, Time = 2025-09-19 07:03:16.2
Prompt: E = 3.08116, Q = 5993.88, Time = 2025-09-19 07:38:27.8
Delayed: E = 2.23743, Q = 4477.26, Time = 2025-09-19 07:38:27.8
Prompt: E = 3.92814, Q = 8309.3, Time = 2025-09-19 07:54:14.4
Delayed: E = 2.24643, Q = 4944.9, Time = 2025-09-19 07:54:14.4
Prompt: E = 3.47427, Q = 7384.59, Time = 2025-09-19 08:16:43.5
Delayed: E = 2.21325, Q = 4858.52, Time = 2025-09-19 08:16:43.5
Prompt: E = 5.88878, Q = 11752.8, Time = 2025-09-19 09:00:47.9
Delayed: E = 2.26012, Q = 4739.42, Time = 2025-09-19 09:00:47.9
Prompt: E = 4.95507, Q = 9937.23, Time = 2025-09-19 09:45:58.9
Delayed: E = 2.11907, Q = 4439.31, Time = 2025-09-19 09:45:58.9
Prompt: E = 3.48528, Q = 6804.9, Time = 2025-09-19 10:02:09.0
Delayed: E = 2.28564, Q = 4636.03, Time = 2025-09-19 10:02:09.0
Prompt: E = 4.98607, Q = 10373.9, Time = 2025-09-19 10:23:48.1
Delayed: E = 2.26506, Q = 4967.32, Time = 2025-09-19 10:23:48.1
Prompt: E = 2.51571, Q = 5185.44, Time = 2025-09-19 11:34:21.2
Delayed: E = 2.24271, Q = 4795.69, Time = 2025-09-19 11:34:21.2
Prompt: E = 4.70621, Q = 10146.3, Time = 2025-09-19 13:14:33.9
Delayed: E = 2.23266, Q = 5018.01, Time = 2025-09-19 13:14:33.9
Prompt: E = 2.05047, Q = 4585.57, Time = 2025-09-19 13:44:48.0
Delayed: E = 2.26736, Q = 5080.75, Time = 2025-09-19 13:44:48.0
Prompt: E = 3.18901, Q = 6872.39, Time = 2025-09-19 13:53:09.1
Delayed: E = 2.27242, Q = 5063.19, Time = 2025-09-19 13:53:09.1
Prompt: E = 4.13378, Q = 8333.49, Time = 2025-09-19 14:22:23.6
Delayed: E = 2.3696, Q = 4879.23, Time = 2025-09-19 14:22:23.6
