Prompt: E = 4.29288, Time = 2025-08-30 03:06:38.6
Prompt: E = 6.06462, Time = 2025-09-14 00:32:21.3
Delayed: E = 2.31494, Time = 2025-09-14 00:32:21.3
Prompt: E = 1.91804, Time = 2025-09-14 00:32:21.3
Delayed: E = 2.21761, Time = 2025-09-14 00:32:21.3
Prompt: E = 5.36213, Time = 2025-09-14 00:33:53.4
Delayed: E = 2.24766, Time = 2025-09-14 00:33:53.4
Prompt: E = 8.69224, Time = 2025-09-14 00:36:01.5
Delayed: E = 2.25173, Time = 2025-09-14 00:36:01.5
Prompt: E = 2.80848, Time = 2025-09-14 01:33:11.3
Delayed: E = 2.31394, Time = 2025-09-14 01:33:11.3
Prompt: E = 1.78009, Time = 2025-09-14 02:22:31.3
Delayed: E = 2.30658, Time = 2025-09-14 02:22:31.3
Prompt: E = 4.62579, Time = 2025-09-14 02:34:52.3
Delayed: E = 2.25061, Time = 2025-09-14 02:34:52.3
Prompt: E = 3.14967, Time = 2025-09-14 02:39:21.3
Delayed: E = 2.23291, Time = 2025-09-14 02:39:21.3
Prompt: E = 1.76764, Time = 2025-09-14 02:44:39.0
Delayed: E = 2.22548, Time = 2025-09-14 02:44:39.0
Prompt: E = 4.78846, Time = 2025-09-14 04:20:33.0
Delayed: E = 2.21987, Time = 2025-09-14 04:20:33.0
Prompt: E = 0.98469, Time = 2025-09-14 04:36:41.5
Delayed: E = 2.33904, Time = 2025-09-14 04:36:41.5
Prompt: E = 1.17481, Time = 2025-09-14 04:46:00.3
Delayed: E = 2.31184, Time = 2025-09-14 04:46:00.3
Prompt: E = 1.96692, Time = 2025-09-14 06:24:44.7
Delayed: E = 2.3343, Time = 2025-09-14 06:24:44.7
Prompt: E = 4.44622, Time = 2025-09-14 06:41:17.4
Delayed: E = 2.28399, Time = 2025-09-14 06:41:17.4
Prompt: E = 3.87839, Time = 2025-09-14 06:51:21.6
Delayed: E = 2.31397, Time = 2025-09-14 06:51:21.6
Prompt: E = 2.13536, Time = 2025-09-14 06:58:24.1
Delayed: E = 2.14356, Time = 2025-09-14 06:58:24.1
Prompt: E = 1.70965, Time = 2025-09-14 07:07:40.3
Delayed: E = 2.20167, Time = 2025-09-14 07:07:40.3
Prompt: E = 3.25519, Time = 2025-09-14 08:32:39.3
Delayed: E = 2.12848, Time = 2025-09-14 08:32:39.3
Prompt: E = 2.27147, Time = 2025-09-14 09:03:36.7
Delayed: E = 2.38401, Time = 2025-09-14 09:03:36.7
Prompt: E = 3.48726, Time = 2025-09-14 09:36:42.7
Delayed: E = 2.20411, Time = 2025-09-14 09:36:42.7
Prompt: E = 6.50835, Time = 2025-09-14 09:44:53.8
Delayed: E = 2.17185, Time = 2025-09-14 09:44:53.8
Prompt: E = 4.37936, Time = 2025-09-14 10:17:07.1
Delayed: E = 2.27258, Time = 2025-09-14 10:17:07.1
Prompt: E = 3.65721, Time = 2025-09-14 10:28:34.7
Delayed: E = 2.22572, Time = 2025-09-14 10:28:34.7
Prompt: E = 1.15584, Time = 2025-09-14 10:40:28.4
Delayed: E = 2.2715, Time = 2025-09-14 10:40:28.4
Prompt: E = 3.75269, Time = 2025-09-14 11:24:34.1
Delayed: E = 2.19589, Time = 2025-09-14 11:24:34.1
Prompt: E = 1.9832, Time = 2025-09-14 11:58:15.3
Delayed: E = 2.26825, Time = 2025-09-14 11:58:15.3
Prompt: E = 6.81918, Time = 2025-09-14 11:59:00.8
Delayed: E = 2.22623, Time = 2025-09-14 11:59:00.8
Prompt: E = 1.55074, Time = 2025-09-14 13:35:01.0
Delayed: E = 2.27432, Time = 2025-09-14 13:35:01.0
Prompt: E = 3.94687, Time = 2025-09-14 16:59:57.2
Delayed: E = 2.23566, Time = 2025-09-14 16:59:57.2
Prompt: E = 4.53094, Time = 2025-09-14 17:53:23.5
Delayed: E = 2.28004, Time = 2025-09-14 17:53:23.5
Prompt: E = 1.3433, Time = 2025-09-14 19:05:33.4
Delayed: E = 2.27367, Time = 2025-09-14 19:05:33.4
Prompt: E = 3.66555, Time = 2025-09-14 19:15:36.0
Delayed: E = 2.24158, Time = 2025-09-14 19:15:36.0
Prompt: E = 7.30933, Time = 2025-09-14 19:24:42.0
Delayed: E = 2.15056, Time = 2025-09-14 19:24:42.0
Prompt: E = 3.41047, Time = 2025-09-14 20:06:02.5
Delayed: E = 2.17096, Time = 2025-09-14 20:06:02.5
Prompt: E = 3.61578, Time = 2025-09-14 20:24:11.2
Delayed: E = 2.17275, Time = 2025-09-14 20:24:11.2
Prompt: E = 5.28445, Time = 2025-09-14 20:45:08.8
Delayed: E = 2.22136, Time = 2025-09-14 20:45:08.8
Prompt: E = 5.22736, Time = 2025-09-14 21:09:35.8
Delayed: E = 2.20804, Time = 2025-09-14 21:09:35.8
Prompt: E = 2.19686, Time = 2025-09-14 21:59:20.6
Delayed: E = 2.16073, Time = 2025-09-14 21:59:20.6
Prompt: E = 4.86566, Time = 2025-09-14 22:32:14.6
Delayed: E = 2.27024, Time = 2025-09-14 22:32:14.6
Prompt: E = 2.45471, Time = 2025-09-14 23:37:49.5
Delayed: E = 2.22889, Time = 2025-09-14 23:37:49.5
Prompt: E = 2.56719, Time = 2025-09-14 23:54:37.2
Delayed: E = 2.12395, Time = 2025-09-14 23:54:37.2
Prompt: E = 3.60175, Time = 2025-09-15 00:18:29.8
Delayed: E = 2.22896, Time = 2025-09-15 00:18:29.8
Prompt: E = 5.23035, Time = 2025-09-15 01:41:12.4
Delayed: E = 2.1992, Time = 2025-09-15 01:41:12.4
Prompt: E = 3.23228, Time = 2025-09-15 02:38:58.9
Delayed: E = 2.18387, Time = 2025-09-15 02:38:58.9
Prompt: E = 8.10716, Time = 2025-09-15 03:13:44.8
Delayed: E = 2.24663, Time = 2025-09-15 03:13:44.8
Prompt: E = 5.85092, Time = 2025-09-15 03:54:35.6
Delayed: E = 2.17984, Time = 2025-09-15 03:54:35.6
Prompt: E = 4.02732, Time = 2025-09-15 05:38:20.4
Delayed: E = 2.27137, Time = 2025-09-15 05:38:20.4
Prompt: E = 2.01479, Time = 2025-09-15 05:45:42.3
Delayed: E = 2.07955, Time = 2025-09-15 05:45:42.3
Prompt: E = 2.46212, Time = 2025-09-15 06:02:42.1
Delayed: E = 2.39089, Time = 2025-09-15 06:02:42.1
Prompt: E = 1.23469, Time = 2025-09-15 06:38:32.9
Delayed: E = 2.19377, Time = 2025-09-15 06:38:32.9
Prompt: E = 2.36708, Time = 2025-09-15 07:38:28.5
Delayed: E = 2.18566, Time = 2025-09-15 07:38:28.5
Prompt: E = 1.22425, Time = 2025-09-15 07:51:45.0
Delayed: E = 2.21039, Time = 2025-09-15 07:51:45.0
Prompt: E = 2.05809, Time = 2025-09-15 08:04:07.1
Delayed: E = 2.252, Time = 2025-09-15 08:04:07.1
Prompt: E = 6.36868, Time = 2025-09-15 08:51:57.2
Delayed: E = 2.27765, Time = 2025-09-15 08:51:57.2
Prompt: E = 1.04064, Time = 2025-09-15 09:44:21.8
Delayed: E = 2.1574, Time = 2025-09-15 09:44:21.8
Prompt: E = 2.06128, Time = 2025-09-15 09:58:29.0
Delayed: E = 2.30819, Time = 2025-09-15 09:58:29.0
Prompt: E = 2.17773, Time = 2025-09-15 10:35:59.5
Delayed: E = 2.19147, Time = 2025-09-15 10:35:59.5
Prompt: E = 9.22828, Time = 2025-09-15 10:42:00.7
Delayed: E = 2.21357, Time = 2025-09-15 10:42:00.7
Prompt: E = 1.249, Time = 2025-09-15 10:51:28.3
Delayed: E = 2.39669, Time = 2025-09-15 10:51:28.3
Prompt: E = 3.77963, Time = 2025-09-15 11:14:12.4
Delayed: E = 2.15675, Time = 2025-09-15 11:14:12.4
Prompt: E = 4.92064, Time = 2025-09-15 12:31:14.2
Delayed: E = 2.20245, Time = 2025-09-15 12:31:14.2
Prompt: E = 3.63533, Time = 2025-09-15 12:40:09.3
Delayed: E = 2.21023, Time = 2025-09-15 12:40:09.3
Prompt: E = 1.77718, Time = 2025-09-15 12:52:28.0
Delayed: E = 2.27035, Time = 2025-09-15 12:52:28.0
Prompt: E = 4.4146, Time = 2025-09-15 13:24:14.2
Delayed: E = 2.17225, Time = 2025-09-15 13:24:14.2
Prompt: E = 5.23926, Time = 2025-09-15 15:07:16.4
Delayed: E = 2.2025, Time = 2025-09-15 15:07:16.4
Prompt: E = 3.59857, Time = 2025-09-15 15:09:26.8
Delayed: E = 2.17685, Time = 2025-09-15 15:09:26.8
Prompt: E = 5.59714, Time = 2025-09-15 15:11:41.6
Delayed: E = 2.2478, Time = 2025-09-15 15:11:41.6
Prompt: E = 4.80166, Time = 2025-09-15 15:16:35.2
Delayed: E = 2.22769, Time = 2025-09-15 15:16:35.2
Prompt: E = 5.24964, Time = 2025-09-15 16:00:22.8
Delayed: E = 2.21805, Time = 2025-09-15 16:00:22.8
Prompt: E = 4.67551, Time = 2025-09-15 16:14:24.8
Delayed: E = 2.15168, Time = 2025-09-15 16:14:24.8
Prompt: E = 5.59802, Time = 2025-09-15 17:00:06.5
Delayed: E = 2.30085, Time = 2025-09-15 17:00:06.5
Prompt: E = 2.36716, Time = 2025-09-15 17:06:44.7
Delayed: E = 2.18428, Time = 2025-09-15 17:06:44.7
Prompt: E = 2.93424, Time = 2025-09-15 18:02:30.5
Delayed: E = 2.16137, Time = 2025-09-15 18:02:30.5
Prompt: E = 1.40858, Time = 2025-09-15 18:18:34.4
Delayed: E = 2.17776, Time = 2025-09-15 18:18:34.4
Prompt: E = 4.77305, Time = 2025-09-16 00:46:11.3
Delayed: E = 2.20578, Time = 2025-09-16 00:46:11.3
Prompt: E = 1.19513, Time = 2025-09-16 01:21:06.1
Delayed: E = 2.11374, Time = 2025-09-16 01:21:06.1
Prompt: E = 2.06116, Time = 2025-09-16 01:36:10.5
Delayed: E = 2.24114, Time = 2025-09-16 01:36:10.5
Prompt: E = 4.02984, Time = 2025-09-16 03:35:30.9
Delayed: E = 2.20247, Time = 2025-09-16 03:35:30.9
Prompt: E = 3.57028, Time = 2025-09-16 09:56:27.3
Delayed: E = 2.11268, Time = 2025-09-16 09:56:27.3
Prompt: E = 5.9295, Time = 2025-09-16 10:46:37.4
Delayed: E = 2.27233, Time = 2025-09-16 10:46:37.4
Prompt: E = 4.7956, Time = 2025-09-16 11:04:40.1
Delayed: E = 2.23343, Time = 2025-09-16 11:04:40.1
Prompt: E = 5.3518, Time = 2025-09-16 11:07:42.2
Delayed: E = 2.21762, Time = 2025-09-16 11:07:42.2
Prompt: E = 3.58709, Time = 2025-09-16 11:12:34.3
Delayed: E = 2.16838, Time = 2025-09-16 11:12:34.3
Prompt: E = 5.18967, Time = 2025-09-16 11:41:26.5
Delayed: E = 2.21836, Time = 2025-09-16 11:41:26.5
Prompt: E = 3.94639, Time = 2025-09-16 12:18:39.2
Delayed: E = 2.0578, Time = 2025-09-16 12:18:39.2
Prompt: E = 1.14938, Time = 2025-09-16 13:15:44.4
Delayed: E = 2.16834, Time = 2025-09-16 13:15:44.4
Prompt: E = 6.952, Time = 2025-09-16 13:27:32.0
Delayed: E = 2.23867, Time = 2025-09-16 13:27:32.0
Prompt: E = 1.85985, Time = 2025-09-16 13:46:20.8
Delayed: E = 2.15472, Time = 2025-09-16 13:46:20.8
Prompt: E = 5.4166, Time = 2025-09-16 13:57:39.0
Delayed: E = 2.23255, Time = 2025-09-16 13:57:39.0
Prompt: E = 1.29097, Time = 2025-09-16 14:52:01.5
Delayed: E = 2.24521, Time = 2025-09-16 14:52:01.5
Prompt: E = 5.16928, Time = 2025-09-16 15:20:21.5
Delayed: E = 2.26524, Time = 2025-09-16 15:20:21.5
Prompt: E = 6.32281, Time = 2025-09-16 15:34:53.2
Delayed: E = 2.25011, Time = 2025-09-16 15:34:53.2
Prompt: E = 4.12812, Time = 2025-09-16 15:47:35.0
Delayed: E = 2.24812, Time = 2025-09-16 15:47:35.0
Prompt: E = 1.29383, Time = 2025-09-16 16:32:52.1
Delayed: E = 2.2098, Time = 2025-09-16 16:32:52.1
Prompt: E = 6.37754, Time = 2025-09-16 16:41:49.7
Delayed: E = 2.20688, Time = 2025-09-16 16:41:49.7
Prompt: E = 5.86178, Time = 2025-09-16 16:42:33.6
Delayed: E = 2.30294, Time = 2025-09-16 16:42:33.6
Prompt: E = 4.37302, Time = 2025-09-16 17:50:49.7
Delayed: E = 2.2302, Time = 2025-09-16 17:50:49.7
Prompt: E = 4.29382, Time = 2025-09-16 18:27:34.0
Delayed: E = 2.2378, Time = 2025-09-16 18:27:34.0
Prompt: E = 2.54668, Time = 2025-09-16 18:52:55.9
Delayed: E = 2.28927, Time = 2025-09-16 18:52:55.9
Prompt: E = 6.53723, Time = 2025-09-16 18:58:44.3
Delayed: E = 2.17715, Time = 2025-09-16 18:58:44.3
Prompt: E = 8.52579, Time = 2025-09-16 19:15:34.8
Delayed: E = 2.2335, Time = 2025-09-16 19:15:34.8
Prompt: E = 1.68798, Time = 2025-09-16 19:59:08.8
Delayed: E = 2.227, Time = 2025-09-16 19:59:08.8
Prompt: E = 3.7535, Time = 2025-09-16 20:13:54.5
Delayed: E = 2.13105, Time = 2025-09-16 20:13:54.5
Prompt: E = 4.77173, Time = 2025-09-16 20:25:53.6
Delayed: E = 2.25853, Time = 2025-09-16 20:25:53.6
Prompt: E = 1.12178, Time = 2025-09-16 20:56:45.1
Delayed: E = 2.24505, Time = 2025-09-16 20:56:45.1
Prompt: E = 3.84908, Time = 2025-09-16 20:58:59.8
Delayed: E = 2.32004, Time = 2025-09-16 20:58:59.8
Prompt: E = 1.3718, Time = 2025-09-16 21:09:08.7
Delayed: E = 2.29398, Time = 2025-09-16 21:09:08.7
Prompt: E = 6.77224, Time = 2025-09-16 21:11:51.6
Delayed: E = 2.24913, Time = 2025-09-16 21:11:51.6
Prompt: E = 2.52241, Time = 2025-09-17 00:23:15.3
Delayed: E = 2.23163, Time = 2025-09-17 00:23:15.3
Prompt: E = 1.96021, Time = 2025-09-17 00:30:13.4
Delayed: E = 2.28583, Time = 2025-09-17 00:30:13.4
Prompt: E = 3.3648, Time = 2025-09-17 00:52:33.5
Delayed: E = 2.25182, Time = 2025-09-17 00:52:33.5
Prompt: E = 4.33192, Time = 2025-09-17 01:22:31.3
Delayed: E = 2.30705, Time = 2025-09-17 01:22:31.3
Prompt: E = 6.10146, Time = 2025-09-17 02:32:50.0
Delayed: E = 2.19911, Time = 2025-09-17 02:32:50.0
Prompt: E = 1.0518, Time = 2025-09-17 02:45:57.8
Delayed: E = 2.2241, Time = 2025-09-17 02:45:57.8
Prompt: E = 4.35825, Time = 2025-09-17 02:46:37.2
Delayed: E = 2.25837, Time = 2025-09-17 02:46:37.2
Prompt: E = 3.22843, Time = 2025-09-17 02:46:37.4
Delayed: E = 2.31413, Time = 2025-09-17 02:46:37.4
Prompt: E = 5.48196, Time = 2025-09-17 04:37:34.9
Delayed: E = 2.1867, Time = 2025-09-17 04:37:34.9
Prompt: E = 3.91976, Time = 2025-09-17 04:49:47.6
Delayed: E = 2.29836, Time = 2025-09-17 04:49:47.6
Prompt: E = 1.93279, Time = 2025-09-17 05:53:47.2
Delayed: E = 2.11873, Time = 2025-09-17 05:53:47.2
Prompt: E = 5.31495, Time = 2025-09-17 06:02:58.6
Delayed: E = 2.2797, Time = 2025-09-17 06:02:58.6
Prompt: E = 4.19943, Time = 2025-09-17 07:50:57.5
Delayed: E = 2.28298, Time = 2025-09-17 07:50:57.5
Prompt: E = 5.12836, Time = 2025-09-17 08:03:17.1
Delayed: E = 2.21432, Time = 2025-09-17 08:03:17.1
Prompt: E = 2.33078, Time = 2025-09-17 10:02:18.3
Delayed: E = 2.27807, Time = 2025-09-17 10:02:18.3
Prompt: E = 0.947422, Time = 2025-09-17 10:17:15.6
Delayed: E = 2.11534, Time = 2025-09-17 10:17:15.6
Prompt: E = 7.16784, Time = 2025-09-17 10:22:38.2
Delayed: E = 2.21946, Time = 2025-09-17 10:22:38.2
Prompt: E = 3.60793, Time = 2025-09-17 10:41:36.2
Delayed: E = 2.21429, Time = 2025-09-17 10:41:36.2
Prompt: E = 2.06501, Time = 2025-09-17 11:09:34.7
Delayed: E = 2.33216, Time = 2025-09-17 11:09:34.7
Prompt: E = 5.07784, Time = 2025-09-17 11:24:56.6
Delayed: E = 2.20147, Time = 2025-09-17 11:24:56.6
Prompt: E = 2.20526, Time = 2025-09-17 11:26:34.3
Delayed: E = 2.29905, Time = 2025-09-17 11:26:34.3
Prompt: E = 5.83801, Time = 2025-09-17 11:39:12.8
Delayed: E = 2.17209, Time = 2025-09-17 11:39:12.8
Prompt: E = 1.31232, Time = 2025-09-17 12:40:47.0
Delayed: E = 2.24025, Time = 2025-09-17 12:40:47.0
Prompt: E = 2.95073, Time = 2025-09-17 13:20:33.8
Delayed: E = 2.20995, Time = 2025-09-17 13:20:33.8
Prompt: E = 4.39286, Time = 2025-09-17 14:52:17.4
Delayed: E = 2.20839, Time = 2025-09-17 14:52:17.4
Prompt: E = 3.62621, Time = 2025-09-17 14:59:51.4
Delayed: E = 2.35245, Time = 2025-09-17 14:59:51.4
Prompt: E = 1.8788, Time = 2025-09-17 15:07:41.6
Delayed: E = 2.20017, Time = 2025-09-17 15:07:41.6
Prompt: E = 4.30683, Time = 2025-09-17 15:13:38.7
Delayed: E = 2.12669, Time = 2025-09-17 15:13:38.7
Prompt: E = 2.25221, Time = 2025-09-17 15:55:49.5
Delayed: E = 2.24627, Time = 2025-09-17 15:55:49.5
Prompt: E = 3.70913, Time = 2025-09-17 17:18:46.4
Delayed: E = 2.20854, Time = 2025-09-17 17:18:46.4
Prompt: E = 3.70839, Time = 2025-09-17 17:32:43.0
Delayed: E = 2.14466, Time = 2025-09-17 17:32:43.0
Prompt: E = 2.48908, Time = 2025-09-17 19:20:01.4
Delayed: E = 2.21273, Time = 2025-09-17 19:20:01.4
Prompt: E = 6.01577, Time = 2025-09-17 19:27:02.4
Delayed: E = 2.28579, Time = 2025-09-17 19:27:02.4
Prompt: E = 3.95752, Time = 2025-09-17 20:03:02.1
Delayed: E = 2.33014, Time = 2025-09-17 20:03:02.1
Prompt: E = 1.8305, Time = 2025-09-17 21:19:41.4
Delayed: E = 2.34847, Time = 2025-09-17 21:19:41.4
Prompt: E = 2.40252, Time = 2025-09-17 21:25:54.8
Delayed: E = 2.22608, Time = 2025-09-17 21:25:54.8
Prompt: E = 4.47561, Time = 2025-09-17 21:49:59.2
Delayed: E = 2.26887, Time = 2025-09-17 21:49:59.2
Prompt: E = 2.19637, Time = 2025-09-17 22:07:14.3
Delayed: E = 2.23915, Time = 2025-09-17 22:07:14.3
Prompt: E = 6.28096, Time = 2025-09-18 00:45:42.6
Delayed: E = 2.20055, Time = 2025-09-18 00:45:42.6
Prompt: E = 4.59578, Time = 2025-09-18 01:51:11.3
Delayed: E = 2.17189, Time = 2025-09-18 01:51:11.3
Prompt: E = 8.00766, Time = 2025-09-18 02:00:31.4
Delayed: E = 2.24326, Time = 2025-09-18 02:00:31.4
Prompt: E = 1.10409, Time = 2025-09-18 02:01:55.4
Delayed: E = 2.19043, Time = 2025-09-18 02:01:55.4
Prompt: E = 1.41864, Time = 2025-09-18 02:31:37.1
Delayed: E = 2.22915, Time = 2025-09-18 02:31:37.1
Prompt: E = 2.86033, Time = 2025-09-18 02:42:54.6
Delayed: E = 2.23804, Time = 2025-09-18 02:42:54.6
Prompt: E = 1.89737, Time = 2025-09-18 03:11:13.2
Delayed: E = 2.31937, Time = 2025-09-18 03:11:13.2
Prompt: E = 3.80495, Time = 2025-09-18 04:18:48.0
Delayed: E = 2.24783, Time = 2025-09-18 04:18:48.0
Prompt: E = 5.34712, Time = 2025-09-18 04:46:34.7
Delayed: E = 2.24693, Time = 2025-09-18 04:46:34.7
Prompt: E = 4.12922, Time = 2025-09-18 05:16:18.0
Delayed: E = 2.26707, Time = 2025-09-18 05:16:18.0
Prompt: E = 5.47931, Time = 2025-09-18 05:18:04.2
Delayed: E = 2.31215, Time = 2025-09-18 05:18:04.2
Prompt: E = 5.78082, Time = 2025-09-18 05:24:03.3
Delayed: E = 2.1936, Time = 2025-09-18 05:24:03.3
Prompt: E = 4.367, Time = 2025-09-18 07:09:10.0
Delayed: E = 2.22421, Time = 2025-09-18 07:09:10.0
Prompt: E = 3.28034, Time = 2025-09-18 07:43:29.2
Delayed: E = 2.1669, Time = 2025-09-18 07:43:29.2
Prompt: E = 5.20176, Time = 2025-09-18 08:04:24.3
Delayed: E = 2.22742, Time = 2025-09-18 08:04:24.3
Prompt: E = 3.15591, Time = 2025-09-18 08:06:12.4
Delayed: E = 2.20328, Time = 2025-09-18 08:06:12.4
Prompt: E = 5.6773, Time = 2025-09-18 08:23:28.1
Delayed: E = 2.21847, Time = 2025-09-18 08:23:28.1
Prompt: E = 3.37231, Time = 2025-09-18 08:31:47.1
Delayed: E = 2.2696, Time = 2025-09-18 08:31:47.1
Prompt: E = 4.04074, Time = 2025-09-18 09:59:38.7
Delayed: E = 2.19124, Time = 2025-09-18 09:59:38.7
Prompt: E = 1.13419, Time = 2025-09-18 10:23:01.8
Delayed: E = 2.31047, Time = 2025-09-18 10:23:01.8
Prompt: E = 1.75849, Time = 2025-09-18 10:24:18.4
Delayed: E = 2.27907, Time = 2025-09-18 10:24:18.4
Prompt: E = 8.5604, Time = 2025-09-18 10:36:53.4
Delayed: E = 2.29006, Time = 2025-09-18 10:36:53.4
Prompt: E = 3.34728, Time = 2025-09-18 11:22:41.5
Delayed: E = 2.28845, Time = 2025-09-18 11:22:41.5
Prompt: E = 4.83616, Time = 2025-09-18 12:23:56.2
Delayed: E = 2.265, Time = 2025-09-18 12:23:56.2
Prompt: E = 2.34672, Time = 2025-09-18 13:22:55.3
Delayed: E = 2.35349, Time = 2025-09-18 13:22:55.3
Prompt: E = 5.24762, Time = 2025-09-18 14:04:08.6
Delayed: E = 2.21527, Time = 2025-09-18 14:04:08.6
Prompt: E = 3.53097, Time = 2025-09-18 15:18:40.6
Delayed: E = 2.14874, Time = 2025-09-18 15:18:40.6
Prompt: E = 2.3069, Time = 2025-09-18 16:25:19.3
Delayed: E = 2.28627, Time = 2025-09-18 16:25:19.3
Prompt: E = 3.68676, Time = 2025-09-18 17:40:14.3
Delayed: E = 2.24699, Time = 2025-09-18 17:40:14.3
Prompt: E = 4.05953, Time = 2025-09-18 18:33:38.7
Delayed: E = 2.26367, Time = 2025-09-18 18:33:38.7
Prompt: E = 5.90544, Time = 2025-09-18 19:06:46.4
Delayed: E = 2.24021, Time = 2025-09-18 19:06:46.4
Prompt: E = 4.70597, Time = 2025-09-18 20:28:12.6
Delayed: E = 2.21231, Time = 2025-09-18 20:28:12.6
Prompt: E = 3.34122, Time = 2025-09-18 21:02:52.9
Delayed: E = 2.21307, Time = 2025-09-18 21:02:52.9
Prompt: E = 4.49329, Time = 2025-09-18 21:06:37.2
Delayed: E = 2.13778, Time = 2025-09-18 21:06:37.2
Prompt: E = 5.45955, Time = 2025-09-18 22:11:14.3
Delayed: E = 2.11776, Time = 2025-09-18 22:11:14.3
Prompt: E = 3.72328, Time = 2025-09-18 22:16:19.0
Delayed: E = 2.31423, Time = 2025-09-18 22:16:19.0
Prompt: E = 1.37361, Time = 2025-09-18 22:26:06.1
Delayed: E = 2.30944, Time = 2025-09-18 22:26:06.1
Prompt: E = 3.28307, Time = 2025-09-18 22:48:40.6
Delayed: E = 2.21901, Time = 2025-09-18 22:48:40.6
Prompt: E = 4.07885, Time = 2025-09-19 01:38:10.8
Delayed: E = 2.31275, Time = 2025-09-19 01:38:10.8
Prompt: E = 6.81569, Time = 2025-09-19 02:26:38.6
Delayed: E = 2.03427, Time = 2025-09-19 02:26:38.6
Prompt: E = 2.49485, Time = 2025-09-19 02:41:06.7
Delayed: E = 2.27714, Time = 2025-09-19 02:41:06.7
Prompt: E = 3.31938, Time = 2025-09-19 02:49:03.7
Delayed: E = 2.21008, Time = 2025-09-19 02:49:03.7
Prompt: E = 1.85488, Time = 2025-09-19 02:50:40.7
Delayed: E = 2.26955, Time = 2025-09-19 02:50:40.7
Prompt: E = 1.4026, Time = 2025-09-19 05:16:35.9
Delayed: E = 2.2481, Time = 2025-09-19 05:16:35.9
Prompt: E = 3.54393, Time = 2025-09-19 07:03:16.2
Delayed: E = 2.24703, Time = 2025-09-19 07:03:16.2
Prompt: E = 3.08116, Time = 2025-09-19 07:38:27.8
Delayed: E = 2.23743, Time = 2025-09-19 07:38:27.8
Prompt: E = 3.92814, Time = 2025-09-19 07:54:14.4
Delayed: E = 2.24643, Time = 2025-09-19 07:54:14.4
Prompt: E = 3.47427, Time = 2025-09-19 08:16:43.5
Delayed: E = 2.21325, Time = 2025-09-19 08:16:43.5
Prompt: E = 5.88878, Time = 2025-09-19 09:00:47.9
Delayed: E = 2.26012, Time = 2025-09-19 09:00:47.9
Prompt: E = 4.95507, Time = 2025-09-19 09:45:58.9
Delayed: E = 2.11907, Time = 2025-09-19 09:45:58.9
Prompt: E = 4.98607, Time = 2025-09-19 10:23:48.1
Delayed: E = 2.26506, Time = 2025-09-19 10:23:48.1
Prompt: E = 2.51571, Time = 2025-09-19 11:34:21.2
Delayed: E = 2.24271, Time = 2025-09-19 11:34:21.2
Prompt: E = 4.70621, Time = 2025-09-19 13:14:33.9
Delayed: E = 2.23266, Time = 2025-09-19 13:14:33.9
Prompt: E = 2.05047, Time = 2025-09-19 13:44:48.0
Delayed: E = 2.26736, Time = 2025-09-19 13:44:48.0
Prompt: E = 3.18901, Time = 2025-09-19 13:53:09.1
Delayed: E = 2.27242, Time = 2025-09-19 13:53:09.1
Prompt: E = 4.13378, Time = 2025-09-19 14:22:23.6
Delayed: E = 2.3696, Time = 2025-09-19 14:22:23.6
Prompt: E = 5.87969, Time = 2025-09-19 14:54:44.1
Delayed: E = 2.27368, Time = 2025-09-19 14:54:44.1
Prompt: E = 3.2868, Time = 2025-09-19 15:35:08.4
Delayed: E = 2.16432, Time = 2025-09-19 15:35:08.4
Prompt: E = 1.86227, Time = 2025-09-19 17:49:58.6
Delayed: E = 2.25992, Time = 2025-09-19 17:49:58.6
Prompt: E = 3.84393, Time = 2025-09-19 18:10:33.8
Delayed: E = 2.13395, Time = 2025-09-19 18:10:33.8
Prompt: E = 4.21081, Time = 2025-09-19 18:25:02.5
Delayed: E = 2.29194, Time = 2025-09-19 18:25:02.5
Prompt: E = 5.30036, Time = 2025-09-19 18:51:42.7
Delayed: E = 2.2571, Time = 2025-09-19 18:51:42.7
Prompt: E = 5.04755, Time = 2025-09-19 19:20:26.1
Delayed: E = 2.2912, Time = 2025-09-19 19:20:26.1
Prompt: E = 3.76921, Time = 2025-09-19 19:40:23.9
Delayed: E = 2.19265, Time = 2025-09-19 19:40:23.9
Prompt: E = 6.35614, Time = 2025-09-19 19:47:44.0
Delayed: E = 2.21515, Time = 2025-09-19 19:47:44.0
Prompt: E = 1.66661, Time = 2025-09-19 20:35:12.0
Delayed: E = 2.31164, Time = 2025-09-19 20:35:12.0
Prompt: E = 1.29808, Time = 2025-09-19 20:57:14.7
Delayed: E = 2.10853, Time = 2025-09-19 20:57:14.7
Prompt: E = 1.3607, Time = 2025-09-19 21:52:46.3
Delayed: E = 2.27526, Time = 2025-09-19 21:52:46.3
Prompt: E = 4.19271, Time = 2025-09-19 22:51:56.9
Delayed: E = 2.34724, Time = 2025-09-19 22:51:56.9
Prompt: E = 2.595, Time = 2025-09-20 00:34:59.8
Delayed: E = 2.18087, Time = 2025-09-20 00:34:59.8
Prompt: E = 2.75822, Time = 2025-09-20 00:57:23.7
Delayed: E = 2.22821, Time = 2025-09-20 00:57:23.7
Prompt: E = 7.70741, Time = 2025-09-20 01:05:47.8
Delayed: E = 2.40561, Time = 2025-09-20 01:05:47.8
